,From,To,Weight
296,Alkis Simitsis,Fabian Temme,1
297,Alkis Simitsis,George Stamatakis 0002,1
298,Alkis Simitsis,Holger Arndt,1
299,Alkis Simitsis,Mate Torok,1
300,Alkis Simitsis,Miguel Ponce de Leon,1
301,Alkis Simitsis,Minos N. Garofalakis,1
302,Alkis Simitsis,Nikos Giatrakos,1
303,Alkis Simitsis,Ralf Klinkenberg,1
304,Alkis Simitsis,Stefan Burkard,1
305,Alkis Simitsis,Theodoros Bitsakis,1
306,Alkis Simitsis,Vasilis Samoladas,1
307,Alkis Simitsis,Yannis Kotidis,1
308,Antonios Deligiannakis,Antonis Kontaxakis,2
309,Antonios Deligiannakis,Aris Konidaris,1
310,Antonios Deligiannakis,Arnau Montagud,1
311,Antonios Deligiannakis,David Arnu,1
312,Antonios Deligiannakis,Edwin Yaqub,1
313,Antonios Deligiannakis,Fabian Temme,1
314,Antonios Deligiannakis,George Stamatakis 0002,1
315,Antonios Deligiannakis,Holger Arndt,1
316,Antonios Deligiannakis,Mate Torok,1
317,Antonios Deligiannakis,Miguel Ponce de Leon,1
318,Antonios Deligiannakis,Minos N. Garofalakis,1
319,Antonios Deligiannakis,Nikos Giatrakos,2
320,Antonios Deligiannakis,Ralf Klinkenberg,1
321,Antonios Deligiannakis,Stefan Burkard,1
322,Antonios Deligiannakis,Theodoros Bitsakis,1
323,Antonios Deligiannakis,Vasilis Samoladas,1
324,Antonios Deligiannakis,Yannis Kotidis,1
325,Antonis Kontaxakis,Aris Konidaris,1
326,Antonis Kontaxakis,Arnau Montagud,1
327,Antonis Kontaxakis,David Arnu,1
328,Antonis Kontaxakis,Edwin Yaqub,1
329,Antonis Kontaxakis,Fabian Temme,1
330,Antonis Kontaxakis,George Stamatakis 0002,1
331,Antonis Kontaxakis,Holger Arndt,1
332,Antonis Kontaxakis,Mate Torok,1
333,Antonis Kontaxakis,Miguel Ponce de Leon,1
334,Antonis Kontaxakis,Minos N. Garofalakis,1
335,Antonis Kontaxakis,Nikos Giatrakos,2
336,Antonis Kontaxakis,Ralf Klinkenberg,1
337,Antonis Kontaxakis,Stefan Burkard,1
338,Antonis Kontaxakis,Theodoros Bitsakis,1
339,Antonis Kontaxakis,Vasilis Samoladas,1
340,Antonis Kontaxakis,Yannis Kotidis,1
341,Aris Konidaris,Arnau Montagud,1
342,Aris Konidaris,David Arnu,1
343,Aris Konidaris,Edwin Yaqub,1
344,Aris Konidaris,Fabian Temme,1
345,Aris Konidaris,George Stamatakis 0002,1
346,Aris Konidaris,Holger Arndt,1
347,Aris Konidaris,Mate Torok,1
348,Aris Konidaris,Miguel Ponce de Leon,1
349,Aris Konidaris,Minos N. Garofalakis,1
350,Aris Konidaris,Nikos Giatrakos,1
351,Aris Konidaris,Ralf Klinkenberg,1
352,Aris Konidaris,Stefan Burkard,1
353,Aris Konidaris,Theodoros Bitsakis,1
354,Aris Konidaris,Vasilis Samoladas,1
355,Aris Konidaris,Yannis Kotidis,1
356,Arnau Montagud,David Arnu,1
357,Arnau Montagud,Edwin Yaqub,1
358,Arnau Montagud,Fabian Temme,1
359,Arnau Montagud,George Stamatakis 0002,1
360,Arnau Montagud,Holger Arndt,1
361,Arnau Montagud,Mate Torok,1
362,Arnau Montagud,Miguel Ponce de Leon,1
363,Arnau Montagud,Minos N. Garofalakis,1
364,Arnau Montagud,Nikos Giatrakos,1
365,Arnau Montagud,Ralf Klinkenberg,1
366,Arnau Montagud,Stefan Burkard,1
367,Arnau Montagud,Theodoros Bitsakis,1
368,Arnau Montagud,Vasilis Samoladas,1
369,Arnau Montagud,Yannis Kotidis,1
